KIC;Kpmag;QLen;DLen;numax;e_numax;Delnu;e_Delnu;A;e_A;Width;e_Width;Gran;e_Gran;Teff;e_Teff;logg;e_log(g);[Fe/H];e_[Fe/H];NoCorM;e_NoCorM;NoCorR;e_NoCorR;RGBcorM;e_RGBcorM;RGBcorR;e_RGBcorR;ClcorM;e_ClcorM;ClcorR;e_ClcorR;Phase;M17;Simbad;_RA;_DE
 1163359;12.030;15;1139.00; 21.43; 0.41; 2.642; 0.015;132.1;  7.1;  8.0; 0.9;   7264.5;   724.2;4560; 80; 2.228; 0.010;-0.37; 0.15; 1.60; 0.12;16.11; 0.45; 1.41; 0.11;15.13; 0.42; 1.56; 0.12;15.90; 0.44;1;M17;Simbad;291.4932600;+36.8488081
 1163453;11.980;15;1139.00; 40.33; 0.82; 4.415; 0.065; 87.4;  4.2; 15.5; 1.2;   2176.9;   174.0;5034;159; 2.524; 0.012;-0.16; 0.30; 1.59; 0.16;11.41; 0.47; 1.53; 0.16;11.21; 0.46; 1.62; 0.17;11.54; 0.48;2;M17;Simbad;291.5134000;+36.8339500
 1163621;11.790;17;1292.30; 51.32; 0.71; 5.013; 0.033; 55.8;  2.3; 20.8; 1.8;    789.5;    48.6;4909; 80; 2.623; 0.008; 0.06; 0.15; 1.89; 0.12;11.12; 0.28; 1.81; 0.12;10.87; 0.27; 1.94; 0.13;11.26; 0.28;2;M17;Simbad;291.5540800;+36.8073811
 1164301;13.930;15;1211.90; 57.93; 0.41; 5.959; 0.021; 84.5;  8.4; 11.8; 1.3;   2410.3;   263.3;5066;158; 2.683; 0.009;-0.13; 0.30; 1.43; 0.09; 9.02; 0.21; 1.41; 0.09; 8.96; 0.21; 1.46; 0.09; 9.11; 0.21;1;M17;Simbad;291.6919600;+36.8814089
 1164584;14.300;17;1308.70; 28.58; 0.36; 3.361; 0.012;189.9; 11.6; 10.0; 0.9;   8898.6;  1033.3;4266; 80; 2.338; 0.008; 0.10; 0.15; 1.31; 0.08;12.84; 0.29; 1.14; 0.07;11.96; 0.26; 1.28; 0.08;12.71; 0.28;1;M17;Simbad;291.7568700;+36.8862989
 1292147;15.230;17;1308.70; 88.14; 0.83; 8.079; 0.027; 72.9;  5.3; 26.6; 2.8;    194.4;    55.8;4213;124; 2.825; 0.009;-0.29; 0.30; 1.13; 0.07; 6.81; 0.16; 0.97; 0.06; 6.31; 0.15; 1.09; 0.07; 6.69; 0.16;1;M17;Simbad;290.7654100;+36.9191089
 1294122;11.940;18;1318.10; 75.62; 0.84; 7.022; 0.016; 50.2;  2.9; 21.8; 1.5;    537.5;    46.7;4795; 80; 2.786; 0.007; 0.03; 0.15; 1.52; 0.08; 8.25; 0.17; 1.41; 0.08; 7.96; 0.16; 1.54; 0.09; 8.31; 0.17;1;M17;Simbad;291.2799100;+36.9070211
 1294385;10.650;18;1318.10;106.81; 1.08; 9.090; 0.016; 37.0;  2.2; 30.6; 2.1;    222.0;    38.8;4824; 80; 2.938; 0.007; 0.11; 0.15; 1.54; 0.08; 6.98; 0.14; 1.45; 0.08; 6.78; 0.13; 1.56; 0.08; 7.03; 0.14;1;M17;Simbad;291.3395400;+36.9026911
 1294578;13.940;15;1211.90; 49.15; 0.47; 5.377; 0.015; 97.5;  6.1; 15.4; 1.3;   1681.3;   187.1;4649; 80; 2.593; 0.007;-0.37; 0.15; 1.16; 0.06; 9.01; 0.18; 1.00; 0.05; 8.37; 0.16; 1.12; 0.06; 8.88; 0.18;1;M17;Simbad;291.3822600;+36.9532811
 1294924;13.780;17;1308.70; 36.27; 1.59; 4.231; 0.087;100.6;  9.5; 14.8; 5.2;   4136.9;  1182.6;5191;162; 2.484; 0.021;-0.11; 0.30; 1.43; 0.24;11.34; 0.72; 1.46; 0.24;11.46; 0.73; 1.46; 0.24;11.44; 0.73;2;M17;Simbad;291.4618500;+36.9667889
 1295017;13.850; 7; 548.10; 27.19; 0.62; 3.903; 0.026;151.3;  8.0; 13.9; 2.0;   6325.2;   760.4;4942;159; 2.349; 0.013; 0.12; 0.30; 0.77; 0.07; 9.75; 0.33; 0.82; 0.08;10.02; 0.34; 0.79; 0.07; 9.83; 0.33;2;M17;Simbad;291.4813500;+36.9962619
 1295475;12.450; 8; 557.60; 40.05; 0.59; 4.282; 0.051; 91.4;  3.3; 17.6; 2.0;   2328.6;   158.6;4897;159; 2.515; 0.010;-0.08; 0.30; 1.68; 0.15;11.88; 0.42; 1.58; 0.14;11.52; 0.40; 1.72; 0.15;12.00; 0.43;2;M17;Simbad;291.5729400;+36.9310189
 1296068;12.820; 8; 557.60; 59.56; 0.49; 6.140; 0.013; 86.0;  3.9; 19.1; 1.4;    988.9;    82.5;4609; 80; 2.674; 0.007; 0.07; 0.15; 1.20; 0.06; 8.34; 0.16; 1.07; 0.06; 7.88; 0.15; 1.20; 0.06; 8.34; 0.16;1;M17;Simbad;291.6867400;+36.9709011
